timestamp,Bazylea Temperature [2 m elevation corrected],Bazylea Sunshine Duration,Bazylea Shortwave Radiation,Bazylea Precipitation Total,Bazylea Snowfall Amount,Bazylea Relative Humidity [2 m],Bazylea Cloud Cover Total,Bazylea Cloud Cover High [high cld lay],Bazylea Cloud Cover Medium [mid cld lay],Bazylea Cloud Cover Low [low cld lay],Bazylea Mean Sea Level Pressure [MSL],Bazylea Wind Speed [10 m],Bazylea Wind Direction [10 m],Bazylea Wind Speed [80 m],Bazylea Wind Direction [80 m],Bazylea Wind Gust,Bazylea Wind Speed [900 mb],Bazylea Wind Direction [900 mb]
20211120T0400,2.8105285,0.0,0.0,0.0,0.0,84.0,0.0,0.0,0.0,0.0,1029.7,6.519877,96.34019,16.78156,112.71441,11.879999,17.654686,106.58733
20211120T0500,1.1505287,0.0,0.0,0.0,0.0,90.0,0.0,0.0,0.0,0.0,1029.5,6.638072,102.52881,21.897945,117.40757,15.119999,19.296133,98.58362
20211120T0600,0.60052866,0.0,0.0,0.0,0.0,91.0,0.0,0.0,0.0,0.0,1029.9,5.95906,115.01689,21.67487,122.106255,18.359999,20.188908,93.06648
20211120T0700,0.40052867,0.0,0.0,0.0,0.0,93.0,0.0,0.0,0.0,0.0,1028.9,6.489992,123.69006,20.633371,132.8789,19.8,19.852295,94.15964
20211120T0800,0.5205287,19.616667,1.78,0.0,0.0,91.0,0.0,0.0,0.0,0.0,1028.4,6.489992,123.69006,21.142147,132.92996,16.199999,18.35647,101.30993
20211120T0900,1.9205287,60.0,88.11,0.0,0.0,85.0,0.0,0.0,0.0,0.0,1027.8,7.5942082,121.429565,17.429354,128.29016,16.199999,18.345877,105.9454
20211120T1000,5.4105287,60.0,213.59999,0.0,0.0,73.0,0.0,0.0,0.0,0.0,1027.2,12.413476,106.8584,16.78156,112.71441,20.880001,16.92383,113.83874
20211120T1100,8.210529,60.0,307.94,0.0,0.0,64.0,0.0,0.0,0.0,0.0,1026.2,13.979871,101.88866,16.171976,106.8214,15.4800005,14.658676,114.67686
20211120T1200,10.010529,60.0,364.9,0.0,0.0,58.0,0.0,0.0,0.0,0.0,1024.4,13.039754,96.34019,14.618837,99.92624,14.4,12.55879,117.29957
20211120T1300,11.220529,60.0,377.36,0.0,0.0,56.0,0.0,0.0,0.0,0.0,1023.2,12.24,89.99999,13.339445,93.094055,13.32,12.4811535,123.231705
20211120T1400,11.990529,60.0,344.43,0.0,0.0,52.0,0.0,0.0,0.0,0.0,1022.7,6.0347,107.35402,6.151683,110.556046,9.36,7.386582,133.02505
20211120T1500,11.890529,60.0,267.88998,0.0,0.0,53.0,0.0,0.0,0.0,0.0,1022.1,7.6367526,98.1301,7.69592,100.784294,7.92,7.42159,157.16635
20211120T1600,11.010529,60.0,155.75,0.0,0.0,57.0,0.0,0.0,0.0,0.0,1021.5,7.5942073,84.55967,11.165805,88.15238,8.28,5.506941,168.69006
20211120T1700,9.930529,50.066666,32.04,0.0,0.0,61.0,0.0,0.0,0.0,0.0,1020.8,8.669949,94.76365,16.327497,104.03624,5.7599998,4.68,180.0
20211120T1800,8.090529,0.0,0.0,0.0,0.0,70.0,0.0,0.0,0.0,0.0,1020.8,8.427383,109.9831,20.073025,122.55,12.24,5.815978,201.8014
20211120T1900,6.6705284,0.0,0.0,0.0,0.0,76.0,0.0,0.0,0.0,0.0,1020.1,7.7879906,123.69006,15.021105,135.97101,7.5599995,7.2,233.1301
20211120T2000,6.0705285,0.0,0.0,0.0,0.0,78.0,0.0,0.0,0.0,0.0,1019.1,8.0899935,122.27564,13.746156,135.0,5.3999996,8.12197,257.19574
20211120T2100,5.7705283,0.0,0.0,0.0,0.0,78.0,0.0,0.0,0.0,0.0,1018.7,7.10031,120.465546,12.768586,130.42607,3.6,12.429127,259.992
20211120T2200,5.4605284,0.0,0.0,0.0,0.0,79.0,0.0,0.0,0.0,0.0,1018.3,5.00128,120.25643,9.422101,133.45184,2.8799999,17.731598,264.17368
20211120T2300,5.2605286,0.0,0.0,0.0,0.0,78.0,0.0,0.0,0.0,0.0,1018.1,5.495161,121.6075,6.1305785,139.76364,2.52,24.187069,265.73212
20211121T0000,5.290529,0.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0,1017.3,5.1919937,123.69006,5.692099,145.30484,3.2399998,29.16,270.0
20211121T0100,5.4105287,0.0,0.0,0.0,0.0,72.0,0.0,0.0,0.0,0.0,1015.9,5.6233797,129.80557,5.506941,168.69006,4.68,30.735231,264.6233
20211121T0200,5.2705283,0.0,0.0,0.0,0.0,71.0,0.0,0.0,0.0,0.0,1015.7,7.9932966,125.83765,10.009036,142.30576,5.04,21.485697,261.32684
20211121T0300,4.8205285,0.0,0.0,0.0,0.0,73.0,0.0,0.0,0.0,0.0,1015.9,7.0911775,113.96249,6.696387,126.25384,4.68,27.117346,264.66785
20211121T0400,4.4005284,0.0,0.0,0.0,0.0,73.0,0.0,0.0,0.0,0.0,1015.7,6.9527545,111.2505,5.95906,115.01689,10.08,32.023815,261.59662
20211121T0500,3.9105287,0.0,0.0,0.0,0.0,74.0,0.0,0.0,0.0,0.0,1015.1,7.289444,110.22486,3.0758414,110.556046,14.4,35.50155,263.59564
20211121T0600,3.8005285,0.0,0.0,0.0,0.0,74.0,0.0,0.0,0.0,0.0,1014.8,6.489992,123.69006,3.2399998,180.0,15.84,38.627514,265.72418
20211121T0700,3.8405285,0.0,0.0,0.0,0.0,73.0,0.0,0.0,0.0,0.0,1014.9,6.618519,135.0,6.151683,200.55605,15.4800005,37.827415,267.81836
20211121T0800,3.8505285,18.166666,0.89,0.0,0.0,73.0,0.0,0.0,0.0,0.0,1014.5,6.4096174,128.15723,5.00128,210.25644,5.04,34.92,270.0
20211121T0900,4.3305287,60.0,84.549995,0.0,0.0,74.0,0.0,0.0,0.0,0.0,1013.9,6.151683,110.556046,3.6,180.0,13.32,30.993471,267.337
